a,b,c,d,e,f,g,h,i,j,k
1,0,0,5,665,0.006015037593984964,0.08333333333333333,0.0,0.014451881371262272,0.013386352781523992,0.07218045112781955
1,0,1,1,665,0.001503759398496241,0.005882352941176471,0.0,0.0020566682027530984,0.0015434487599255687,0.2556390977443609
1,0,2,2,665,0.003007518796992481,0.007407407407407408,0.0,0.002787200227517543,0.0024025810172230147,0.406015037593985
1,0,3,1,665,0.001503759398496241,0.0018587360594795536,0.0,0.00032121778600042853,0.0006594825775932397,0.8090225563909775
1,0,4,4,665,0.006015037593984964,0.05882352941176471,0.0,0.010660415203059338,0.007033828842946537,0.10225563909774436
1,1,0,3,416,0.007211538461538463,0.5,0.0,0.014387844014808512,0.03668147496063781,0.014423076923076926
1,1,1,1,416,0.002403846153846154,0.005847953216374269,0.0,0.00214699512445742,0.0019281180796549,0.4110576923076924
1,1,2,1,416,0.002403846153846154,0.010638297872340424,0.0,0.003591155046810919,0.002653565203647147,0.2259615384615385
1,1,3,5,416,0.009615384615384616,0.038461538461538464,0.0,0.015490179277195829,0.008208979362496953,0.25
1,1,4,3,416,0.007211538461538463,0.5,0.0,0.01985420726232689,0.03612317119736573,0.014423076923076926
1,2,0,2,497,0.004024144869215292,0.043478260869565216,0.0,0.006278499798936011,0.006800492433200334,0.09255533199195172
1,2,1,1,497,0.002012072434607646,0.04,0.0,0.00605805475270115,0.006431921785140741,0.05030181086519115
1,2,2,5,497,0.008048289738430584,0.057142857142857134,0.0,0.013222847552720645,0.00964924136015696,0.14084507042253522
1,2,3,3,497,0.006036217303822936,0.038461538461538464,0.0,0.0096341588787839,0.005356339106144635,0.15694164989939635
1,2,4,4,497,0.008048289738430584,0.018404907975460124,0.0,0.008569469303520264,0.005141254398015436,0.4372904091213951
1,3,0,4,433,0.009237875288683604,0.5,0.0,0.02139232630776771,0.034670021923264856,0.018475750577367202
1,3,1,3,433,0.006928406466512702,0.027272727272727268,0.0,0.010418987465813536,0.006774956176835068,0.2540415704387991
1,3,2,2,433,0.0046189376443418004,0.01183431952662722,0.0,0.005628152557880294,0.0034378192652276826,0.3903002309468822
1,3,3,3,433,0.006928406466512702,0.045454545454545456,0.0,0.010920612443301652,0.006168793218353404,0.15242494226327946
1,3,4,5,433,0.009237875288683604,0.03571428571428571,0.0,0.013690281973771349,0.007982917089078133,0.2586605080831409
1,4,0,4,981,0.004077471967380225,0.04,0.0,0.008032713076001842,0.004485429658428057,0.1019367991845056
1,4,1,3,981,0.003058103975535168,0.008333333333333333,0.0,0.0035203551975555186,0.002208890009394069,0.3669724770642202
